,pChEMBL Value,#RO5 Violations,Smiles
100,9.14,1,c1ccc2oc(CNCCCCCCCNc3c4c(nc5ccccc35)CCCC4)cc2c1
101,9.14,1,O=C(CCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)NCCc1cc2ccccc2[nH]1
102,9.14,0,O=C1C(NCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)=CC(=O)c2c(O)cccc21
103,9.14,0,CN(C)S(=O)(=O)NC1CCc2ccc(O)cc2C1
104,9.14,0,O=C1C(NCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)=CC(=O)c2c(O)cccc21
105,9.13,0,CC1=C[C@@H]2Cc3nc4cc(Cl)ccc4c(N)c3[C@H](C1)C2
106,9.12,0,CCC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3[C@@H](C1)C2
107,9.11,0,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2
108,9.11,0,Cl.O=C(NCCCCNc1c2c(nc3ccccc13)CCCC2)c1ccc(F)cc1
109,9.11,0,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2
110,9.11,0,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2.Cl
111,9.11,0,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2.Cl
112,9.1,0,c1ccc(CN2CCC(CCc3noc4cc(N5CCOCC5)ccc34)CC2)cc1
113,9.1,0,c1ccc(CN2CCC(CCc3noc4cc(N5CCOCC5)ccc34)CC2)cc1
114,9.1,0,NC(=O)c1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
115,9.1,1,NC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CC1
116,9.1,0,CO[P@]1(=O)OC[C@H]2COC(=O)C2=C(C)O1
117,9.1,1,c1ccc(CN2CCC(CCc3noc4cc(C5CCCCC5)ccc34)CC2)cc1
118,9.1,0,c1ccc(CN2CCC(CCc3noc4cc(N5CCOCC5)ccc34)CC2)cc1
119,9.1,0,c1ccc(CN2CCC(CCc3noc4cc(N5CCOCC5)ccc34)CC2)cc1
120,9.1,0,c1ccc(CN2CCC(CCc3noc4cc(N5CCOCC5)ccc34)CC2)cc1
121,9.1,0,COc1cc2c(cc1OC)C(=O)/C(=C/c1cc[n+](Cc3ccccc3F)cc1)C2.[Br-]
122,9.09,1,CCN(CCCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1cccc(OC(=O)NC)c1
123,9.09,1,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3
124,9.09,0,Cl.O=C(NCCCNc1c2c(nc3ccccc13)CCCC2)c1ccc(F)cc1
125,9.09,1,CNC(=O)Oc1cccc(CN(C)CCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1
126,9.09,1,Cl.Cl.c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3
127,9.09,0,CN1CCC(CC/C=C2\Cc3ccccc3C2=O)CC1
128,9.09,1,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3
129,9.09,1,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3
130,9.09,1,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3
131,9.09,0,Cl.O=C(NCCNc1c2c(nc3ccccc13)CCCC2)c1ccc(F)cc1
132,9.08,0,COc1ccc2c(c1)CC(NS(=O)(=O)N(C)C)CC2
133,9.07,1,c1ccc2oc(CNCCCCCCCNc3c4c(nc5ccccc35)CCCC4)cc2c1
134,9.06,1,O=C(CCCCCNc1c2c(nc3cccc(Cl)c13)CCCC2)NCCc1c[nH]c2ccccc12
135,9.05,0,CN1CCC(CCN2C(=O)c3ccccc3C2=O)CC1
136,9.03,1,O=C(CCN1CCC2c3ccccc3NC2C1)Oc1ccc(/C=C2\CCn3c2nc2ccccc2c3=O)cc1
137,9.02,0,O=C1Cc2cc3onc(CCC4CCN(Cc5ccccc5)CC4)c3cc2N1
138,9.02,0,O=C1Cc2cc3onc(CCC4CCN(Cc5ccccc5)CC4)c3cc2N1
139,9.02,0,O=C1Cc2cc3onc(CCC4CCN(Cc5ccccc5)CC4)c3cc2N1
140,9.02,0,O=C1Cc2cc3onc(CCC4CCN(Cc5ccccc5)CC4)c3cc2N1
141,9.02,0,O=C1Cc2cc3onc(CCC4CCN(Cc5ccccc5)CC4)c3cc2N1
142,9.01,0,COc1cccc2c1CC[C@H](NC(=O)N(C)C)C2
143,9.0,0,COc1ccc(-c2cc3c(c(=O)o2)C[C@]2(O)[C@@]4(C)C(=O)C=CC(C)(C)[C@]4(O)CC[C@@]2(C)O3)cc1OC
144,9.0,1,[Br-].[Br-].c1ccc2c(c1)ccc[n+]2CCCCCCCCCC[n+]1cccc2ccccc21
145,9.0,1,O=C(Nc1cncc(OCC2CCN(Cc3ccc(F)cc3)CC2)c1)c1ccnc(NC(=O)C2CC2)c1
146,9.0,0,COc1ccc(-c2cc3c(c(=O)o2)C[C@]2(O)[C@@]4(C)C(=O)C=CC(C)(C)[C@]4(O)CC[C@@]2(C)O3)cc1OC
147,9.0,0,Cc1cccc(F)c1
148,9.0,0,COc1ccc(-c2cc3c(c(=O)o2)C[C@]2(O)[C@@]4(C)C(=O)C=CC(C)(C)[C@]4(O)CC[C@@]2(C)O3)cc1OC
149,9.0,0,COc1ccc(-c2cc3c(c(=O)o2)C[C@]2(O)[C@@]4(C)C(=O)C=CC(C)(C)[C@]4(O)CC[C@@]2(C)O3)cc1OC
150,9.0,0,COc1ccc([C@H](O)[C@H](N)C(=O)O)cc1OC
151,9.0,0,C#CCNc1nc(NCCCCC2CCN(Cc3ccccc3)CC2)c(C#N)cc1C#N
152,9.0,0,COc1ccc(-c2cc3c(c(=O)o2)C[C@]2(O)[C@@]4(C)C(=O)C=CC(C)(C)[C@]4(O)CC[C@@]2(C)O3)cc1OC
153,9.0,0,O=C(O)CCCC[C@@H]1CCSS1
154,8.98,0,COc1ccc2c(c1)CCC(NS(=O)(=O)N(C)C)C2
155,8.98,1,c1ccc2oc(CNCCCCCCCNc3c4c(nc5ccccc35)CCCC4)cc2c1
156,8.97,0,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2
157,8.97,0,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2
158,8.97,0,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2.Cl
159,8.97,0,COc1ccc2c(c1)C[C@@H](NC(=O)N(C)C)CC2
160,8.96,0,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4cccnc4oc3c2)c1
161,8.96,0,CCC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3[C@@H](C1)C2
162,8.96,0,O=C(CCC1CCN(Cc2ccccc2O)CC1)c1cc2c3c(ccn3C(=O)CC2)c1
163,8.92,1,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CC1
164,8.92,0,O=C(Nc1ccc2c(c1)C(=O)N(CCC1CCN(Cc3ccccc3)CC1)C2=O)c1ccccc1
165,8.91,0,CN(C)S(=O)(=O)N[C@H]1CCc2cc(O)ccc2C1
166,8.89,1,c1cnc2nc3c(c(NCCCCCCCNc4c5c(nc6ncccc46)CCCC5)c2c1)CCCC3
167,8.89,1,O=C(CCC1CCN(Cc2cccc(F)c2)CC1)c1cc2c3c(ccn3C(=O)CC2)c1
168,8.89,0,CCN(CC)c1cc(/C=C2/OC(=O)c3cc(OC)c(OC)cc32)ccc1O
169,8.88,0,CN(C)C(=O)NC1CCc2cc(O)ccc2C1
170,8.88,0,COc1cc2c(cc1O)C(=O)C(C)C2
171,8.87,0,CCN(CCC(=O)N1CCN(CCNc2c3c(nc4ccccc24)CCCC3)CC1)C1CCCCC1
172,8.87,0,CN(C)S(=O)(=O)NC1CCc2c(O)cccc2C1
173,8.86,1,CCC1=CC2Cc3nc4cc(Cl)cc(Cl)c4c(N)c3C(C1)C2
174,8.85,1,CNC(=O)Oc1cccc(CN(C)CCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1
175,8.85,1,c1ccc2c(NCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3
176,8.85,1,CNC(=O)Oc1cccc(CN(C)CCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1
177,8.83,None,CN(CCCCNc1c2c(nc3c(NC(=O)CNC(=O)CC[C@H](NC(=O)CNC(=O)OCc4ccccc4)C(=O)N[C@@H](Cc4ccccc4)C(=O)OCc4ccccc4)cccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2
178,8.82,0,CN1CCC(CCCC2Cc3ccccc3C2=O)CC1
179,8.81,0,CCN(CC)c1cc(/C=C2\OC(=O)c3cc(OC)c(OC)cc32)ccc1O
180,8.8,0,CN(C)C(=O)N[C@H]1CCc2c(O)cccc2C1
181,8.79,0,CC[N+](C)(C)c1cccc(O)c1.[Br-]
182,8.79,0,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2.Cl
183,8.77,1,COc1cc(-c2cc3c(c(=O)o2)C[C@]2(O)[C@@]4(C)C(=O)C=CC(C)(C)[C@]4(O)CC[C@@]2(C)O3)cc(OC)c1OC
184,8.77,0,Fc1ccccc1-c1ccc(N[C@H]2C[C@@H]3CN(CC4CCOCC4)C[C@@H]3C2)nn1
185,8.76,0,CN(C)C(=O)N[C@H]1CCc2ccc(O)cc2C1
186,8.75,0,CCC1=CC2Cc3nc4cc(F)cc(F)c4c(N)c3C(C1)C2
187,8.74,0,Nc1c2c(nc3cc(Cl)ccc13)CCCC2
188,8.74,0,Cc1ccc(O)cc1
189,8.74,0,Nc1c2c(nc3cc(Cl)ccc13)CCCC2
190,8.73,0,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2
191,8.72,None,O=C(CC[C@H](NC(=O)CNC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)OCc1ccccc1)NCC(=O)Nc1cccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc12)CCCC3
192,8.71,0,O=C1C=C(NCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)C(=O)c2ccccc21
193,8.7,0,Cc1cccc(C)c1
194,8.7,0,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-]
195,8.7,0,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
196,8.7,1,C[N+](C)(CC#CCOC1=NOCC1)CCCCCCCNc1c2c(nc3ccccc13)CCCC2.[Br-]
197,8.68,0,CCC1=CC2Cc3nc4cc(F)ccc4c(N)c3C(C1)C2
198,8.68,0,CCC1=CC2Cc3nc4cc(F)ccc4c(N)c3C(C1)C2
199,8.66,0,O=C(Nc1ccccc1)c1ccc2c(c1)C(=O)N(CCC1CCN(Cc3ccccc3)CC1)C2=O
200,8.66,0,CC1=CC2Cc3nc4cc(F)cc(F)c4c(N)c3C(C1)C2
201,8.65,None,c1ccc2c(NCCCCC[Se]CCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3
202,8.65,1,CCN(CCCNC1=CC(=O)C(NCCCN(CC)Cc2ccccc2OC)=CC1=O)Cc1ccccc1OC
203,8.64,0,O=C(C[n+]1ccccc1)N/N=C/c1ccc(/C=N/NC(=O)C[n+]2ccccc2)cc1.[Cl-].[Cl-]
204,8.64,0,CCC(CC)n1cc(C(=O)C(F)(F)F)cn1
205,8.63,0,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
206,8.62,0,O=C(c1ccccc1)c1ccc2c(c1)C(=O)N(CCC1CCN(Cc3ccccc3)CC1)C2=O
207,8.6,1,O=C(CCC1CCN(Cc2ccccc2F)CC1)c1cc2c3c(ccn3C(=O)CC2)c1
208,8.59,1,COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccc(F)cc4)cc3)sc2cc1OC
209,8.59,1,COc1cccc2cc(CNCCCCCCCNc3c4c(nc5ccccc35)CCCCC4)oc12
210,8.59,0,O=C(Nc1cncc(OCC2CCN(Cc3ccccc3)CC2)c1)c1ccnc(NC(=O)C2CC2)c1
211,8.59,1,c1ccc2c(NCCc3ccc(OCCCN4CCCCC4)cc3)c3c(nc2c1)CCCC3
212,8.59,0,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](Cc3ccc(F)cc3)cc1)C2
213,8.59,0,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](Cc3ccc(F)cc3)cc1)C2
214,8.58,None,c1ccc2c(NCCCCC[Se][Se]CCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3
215,8.57,1,O=C(/C=C/c1ccc([N+](=O)[O-])cc1)NCCCCCCNc1c2c(nc3ccccc13)CCCC2
216,8.57,1,O=C(CCCCc1cccs1)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
217,8.57,0,COc1cc2c(cc1O)C(=O)C(Cc1cc[n+](Cc3cccc(Cl)c3)cc1C(C)=O)C2
218,8.56,0,COc1cc2c(cc1OC)C(=O)C(CC1(F)CCN(Cc3ccc(F)cc3)CC1)C2
219,8.55,0,CC(=O)Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
220,8.55,0,CC(=O)Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
221,8.55,0,CC(=O)Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1.O=C(O)/C=C/C(=O)O
222,8.55,0,CC(=O)Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
223,8.55,0,CC(=O)Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
224,8.55,0,CC(=O)Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
225,8.55,0,CC(=O)Nc1ccc2c(c1)C(=O)N(CCC1CCN(Cc3ccccc3)CC1)C2=O
226,8.55,0,CC(=O)Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
227,8.54,0,COc1cc2c(cc1OC)C(=O)C(Cc1cc[n+](Cc3ccccc3)cc1C#N)C2.[Br-]
228,8.54,1,O=C(CCC1CCN(Cc2cccc([N+](=O)[O-])c2)CC1)c1cc2c3c(ccn3C(=O)CC2)c1
229,8.54,0,COc1cc2c(cc1OC)C(=O)/C(=C/c1cc[n+](Cc3cccc(F)c3)cc1)C2.[Br-]
230,8.54,0,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C
231,8.52,0,CN1CCC(/C=C/C=C2\Cc3ccccc3C2=O)CC1
232,8.52,1,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(c2)O/C(=C\c2cc(O)c(O)c(O)c2)C3=O)c1
233,8.52,0,COc1ccc([C@H]2O[C@@H](O)[C@@H]3[C@@H](c4cc(OC)c5c(c4)OCO5)OC(=O)[C@H]23)cc1OC
234,8.5,0,Nc1c2c(nc3ccccc13)CCCC2
235,8.49,1,O=C1C(Cl)=C(NCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)C(=O)c2ccccc21
236,8.48,0,COc1cc2c(cc1OC)C(=O)C(Cc1cc[n+](Cc3cccc(Cl)c3)cc1C(C)=O)C2.[Br-]
237,8.47,0,COc1cc2c(cc1OC)C(=O)/C(=C/c1cc[n+](Cc3ccccc3)cc1)C2.[Br-]
238,8.46,1,O=C(c1c2ccccc2cc2ccccc12)N1c2ccccc2Sc2ccccc21
239,8.46,0,COc1cc2c(cc1OC)C(=O)C(CC1(F)CCN(Cc3ccccc3F)CC1)C2
240,8.46,0,COc1cc2c(cc1OC)C(=O)C(CC1(F)CCN(Cc3ccc(F)cc3F)CC1)C2
241,8.46,1,O=C(c1c2ccccc2cc2ccccc12)N1c2ccccc2Sc2ccccc21
242,8.45,1,CN(C)c1ccccc1CNCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2
