,pChEMBL Value,#RO5 Violations,Smiles
82,8.51,0,CCC(c1c(Cl)c(Cl)cc2nc(O)c(O)nc12)n1ccnc1
83,8.49,0,O=C(/C=C/c1c(C(=O)[O-])[nH]c2cc(Cl)cc(Cl)c12)Nc1ccccc1.[Na+]
84,8.49,0,C[C@]1(C(=O)CP(=O)(O)O)C=CCN[C@H]1C(=O)O
85,8.48,1,Oc1nc2cc(Cl)ccc2c(O)c1-c1cccc(NCc2ccsc2)c1
86,8.48,1,CC(C)(C)c1c(Cl)sc2nc(O)c(-c3cccc(Oc4ccccc4)c3)c(O)c12
87,8.47,0,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12
88,8.47,0,NC(Cc1nc2cc(Cl)c(Cl)cc2nc1CP(=O)(O)O)C(=O)O
89,8.47,0,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12
90,8.47,0,C[C@@]12NC(Cc3ccccc31)c1ccccc12.O=C(O)/C=C\C(=O)O
91,8.47,0,NC(Cc1nc2cc(Cl)c(Cl)cc2nc1CP(=O)(O)O)C(=O)O
92,8.46,1,CSc1ccc(Cl)c(NC(=N)N(C)c2cccc(I)c2)c1
93,8.46,0,OCCNc1cc(N2CCc3ccccc3C2)nc2ccccc12
94,8.44,0,Fc1ccc2c(c1)C1c3cccc[n+]3C2CC1(c1ccoc1)c1ccoc1.[Cl-]
95,8.44,1,[Br-].c1csc(C2(c3cccs3)CC3c4ccccc4C2c2cccc[n+]23)c1
96,8.44,1,O=C(c1ccccc1)c1cccc(-c2c(O)nc3cc(Cl)ccc3c2O)c1
97,8.44,1,COCCOCOc1ccc(Cc2cccc(-c3c(O)nc4cc(Cl)ccc4c3O)c2)cc1
98,8.41,1,CCc1cccc(N(C)C(=N)Nc2cc(CC)cc(SC)c2Br)c1.Cl
99,8.41,1,CCc1cccc(N(C)C(=N)Nc2cc(SC)cc(Br)c2Cl)c1.Cl
100,8.4,0,O=C(Nc1ccccc1)N[C@H]1C[C@H](C(=O)O)Nc2cc(Cl)cc(Cl)c21
101,8.4,0,O=C(Nc1ccccc1)N[C@H]1C[C@H](C(=O)O)Nc2cc(Cl)cc(Cl)c21
102,8.4,0,CCc1cc2cc(CP(=O)(O)O)c(C[C@@H](N)C(=O)O)nc2cc1CC
103,8.4,0,C[C@@H]([C@@H](O)c1ccc(O)cc1)N1CCC(O)(c2ccc(F)cc2)CC1
104,8.4,0,CCOC1(OCC)C2c3cc(OC)ccc3C([n+]3ccccc32)C1(C)C.F[P-](F)(F)(F)(F)F
105,8.4,0,O=C(O)C1Nc2cc(Cl)cc(Cl)c2S(=O)(=O)N1Cc1cccc(Br)c1
106,8.4,0,Cc1cc2cc(CP(=O)(O)O)c(C[C@@H](N)C(=O)O)nc2cc1Cl
107,8.4,1,Oc1nc2cc(Cl)ccc2c(O)c1-c1cccc(Cc2ccccc2)c1
108,8.4,0,O=C(Nc1ccccc1)N[C@H]1C=C(C(=O)O)Nc2cc(Cl)cc(Cl)c21
109,8.4,0,CCC(c1c(Cl)c(Cl)cc2nc(O)c(O)nc12)n1cncn1
110,8.4,0,CCOC1(OCC)C2c3ccccc3C([n+]3ccccc32)C1(C)C.[Cl-]
111,8.4,0,O=[N+]([O-])c1c(Cl)c(Cl)cc2nc(O)c(O)nc12
112,8.38,1,CCCc1c(Cl)sc2nc(O)c(-c3cccc(Oc4ccccc4)c3)c(O)c12
113,8.38,0,Cc1ccc(OC2CCN(C(=O)c3cc(=O)c4cc(O)ccc4[nH]3)CC2)cc1
114,8.38,0,NC(=O)NCc1ccc(NC(=O)/C=C2\CC(C(=O)O)Nc3cc(Cl)cc(Cl)c32)cc1
115,8.38,0,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12
116,8.38,1,CCc1cccc(N(C)C(=N)Nc2cc(Br)cc(SC)c2Br)c1.Cl
117,8.38,0,c1ccc2c(c1)CC1NCC2c2ccccc21
118,8.37,1,CCc1cccc(N(C)C(=N)Nc2cc(SC)cc(C(F)(F)F)c2Br)c1.Cl
119,8.36,0,CCCn1cnc(Cc2c(Cl)c(Cl)cc3nc(O)c(O)nc23)c1
120,8.35,1,COc1ccc(Cc2cccc(-c3c(O)c4ccc(Cl)cc4[nH]c3=O)c2)cc1
121,8.35,0,CO[C@H](C)CN1CC[C@@]2(C)c3ccc(O)cc3C[C@@H]1C2(C)C
122,8.33,0,CN(C(=N)Nc1cccc2ccccc12)c1cccc(I)c1
123,8.32,0,CC(=O)NCc1ccc(NC(=O)/C=C2\CC(C(=O)O)Nc3cc(Cl)cc(Cl)c32)cc1
124,8.3,0,Oc1nc2cc(Cl)c(Cl)c(Cn3cccn3)c2nc1O
125,8.3,0,NC12CCCC1Cc1ccccc12
126,8.3,0,Cc1cc2cc(CP(=O)(O)O)c(C[C@@H](N)C(=O)O)nc2cc1C
127,8.3,0,CC1(CC(=O)O)c2ccc(Cl)cc2-c2nc(O)c(O)nc21
128,8.3,0,N[C@H](Cc1nc2cc(Cl)c(Cl)cc2cc1CP(=O)(O)O)C(=O)O
129,8.29,1,CCc1cccc(N(C)C(=N)Nc2cc(SC)cc(CC)c2Cl)c1.Cl
130,8.29,1,COc1ccc(Cc2cccc(-c3c(O)c4ccc(Cl)cc4[nH]c3=O)c2)cc1
131,8.29,0,C[C@@]12NC(Cc3ccccc31)c1ccccc12.O=C(O)/C=C\C(=O)O
132,8.28,0,CCOC1(OCC)C2c3ccccc3C([n+]3ccccc32)C1(C)C.[Cl-]
133,8.28,0,COc1cccc(N(C)C(=N)Nc2cc(SC)ccc2Cl)c1
134,8.28,0,CCOC1(OCC)C2c3ccccc3C([n+]3ccccc32)C1(C)C.[Cl-]
135,8.28,0,N[C@H](C(=O)O)[C@@H]1C[C@@H]1C(=O)O
136,8.27,0,COc1cccc(OC)c1C/N=C(\N)c1cc2ccccc2[nH]1.Cl
137,8.25,0,O=C(/C=C/c1c(C(=O)[O-])[nH]c2cc(Cl)cc(Cl)c12)Nc1ccc(CNC(=O)NC2CC2)cc1.[Na+]
138,8.25,0,CO[C@@H](C)CN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1C2(C)C
139,8.25,0,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12
140,8.25,0,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12
141,8.24,0,CNC12CCCCC1CCc1ccc(OC)cc12
142,8.24,1,CCC(C)c1c(Cl)sc2nc(O)c(-c3ccccc3)c(O)c12
143,8.23,0,O=[N+]([O-])c1c(Cl)c(Cl)cc2nc(O)c(O)nc12
144,8.22,0,CC12NC(Cc3ccc(Br)cc31)c1ccccc12
145,8.22,1,Oc1nc2cc(Cl)ccc2c(O)c1-c1cccc(C2=CCc3ccccc32)c1
146,8.22,0,C[C@@H](NCc1cc(C(F)(F)F)cc2nc(O)c(O)nc12)P(=O)(O)O
147,8.22,0,CC12NC(Cc3ccccc31)c1ccc(Cl)cc12
148,8.22,0,CCN(CC)Cc1cn(Cc2c(Cl)c(Cl)cc3nc(O)c(O)nc23)nn1
149,8.22,0,O=C(c1nc2ccc(O)cc2[nH]1)N1CCC(Cc2cccc(F)c2)CC1
150,8.22,0,C[C@@H](NCc1cc(Br)cc2nc(O)c(O)nc12)P(=O)(O)O
151,8.22,0,COc1cccc2c1C1c3cccc[n+]3C2CC1(c1ccoc1)c1ccoc1.[Cl-]
152,8.22,0,N[C@@H](Cc1cc(CP(=O)(O)O)cc(-c2cccc3ccccc23)c1)C(=O)O
153,8.21,0,CC(C#Cc1ccsc1)n1[nH]c(=O)c2[nH]c3cc(Cl)ccc3c(=O)c2c1=O
154,8.21,0,Cc1ccc(OC2CCN(C(=O)c3cc(=O)c4cc(O)ccc4[nH]3)CC2)cc1
155,8.21,0,CCOC1(OCC)C2c3ccccc3C([n+]3ccsc32)C1(C)C.[Cl-]
156,8.2,0,C[C@H](NC(N)=O)c1ccc(NC(=O)/C=C/c2c(C(=O)[O-])[nH]c3cc(Cl)cc(Cl)c23)cc1.[Na+]
157,8.2,1,CCc1cccc(N(C)C(=N)Nc2cc(SC)ccc2Cl)c1
158,8.2,0,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12
159,8.2,0,NC(=O)NCCc1ccc(NC(=O)/C=C/c2c(C(=O)[O-])[nH]c3cc(Cl)cc(Cl)c23)cc1.[Na+]
160,8.19,0,CCc1cccc(N(C)C(=N)Nc2cccc(SC)c2)c1.Cl
161,8.19,0,N[C@H](C(=O)O)[C@@H]1C[C@@H]1C(=O)O
162,8.19,0,N.NC(Cc1nc2cc3ccccc3cc2nc1CP(=O)(O)O)C(=O)O
163,8.18,0,CS(=O)(=O)Nc1ccc(NC(=O)/C=C2\CC(C(=O)O)Nc3cc(Cl)cc(Cl)c32)cc1
164,8.18,0,COCC(=O)Nc1ccc(NC(=O)/C=C2\CC(C(=O)O)Nc3cc(Cl)cc(Cl)c32)cc1
165,8.18,0,O=C(/C=C1\CC(C(=O)O)Nc2cc(Cl)cc(Cl)c21)Nc1ccccc1
166,8.18,0,O=c1[nH]c2ccc([S+]([O-])CCN3CCC(Cc4ccc(F)cc4)CC3)cc2o1
167,8.18,0,NC(=O)Cc1ccc(NC(=O)/C=C2\CC(C(=O)O)Nc3cc(Cl)cc(Cl)c32)cc1
168,8.18,0,COc1ccccc1C/N=C(N)/C=C/c1ccccc1
169,8.18,1,CC(C)c1c(Cl)sc2nc(O)c(-c3ccccc3)c(O)c12
170,8.17,0,NS(=O)(=O)Nc1ccc(NC(=O)/C=C2\CC(C(=O)O)Nc3cc(Cl)cc(Cl)c32)cc1
171,8.16,0,CCc1cc(Cl)cc2nc(O)c(-c3ccccc3)c(O)c12
172,8.16,0,CCc1cc(Cl)cc2nc(O)c(-c3ccccc3)c(O)c12
173,8.16,0,CCc1cc(Cl)cc2nc(O)c(-c3ccccc3)c(O)c12
174,8.16,1,CCc1cccc(N(C)C(=N)Nc2cc(SC)cc(C(F)(F)F)c2Cl)c1.Cl
175,8.15,0,O=C(c1cc(=O)c2cc(O)ccc2[nH]1)N1CCC(Oc2ccc(Cl)cc2)CC1
176,8.15,0,N[C@H](Cc1nc2cc(Cl)ccc2n1CP(=O)(O)O)C(=O)O
177,8.15,0,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12.Cl
178,8.15,0,O=Nc1c(O)nc2cc(Cl)c(Cl)c(Cl)c2c1O
179,8.15,1,O=C(/C=C/c1c(C(=O)[O-])[nH]c2cc(Cl)cc(Cl)c12)Nc1ccc(CNC(=O)NC2CCOCC2)cc1.[Na+]
180,8.15,0,NC(=O)/C=C/c1ccc(NC(=O)/C=C2\CC(C(=O)O)Nc3cc(Cl)cc(Cl)c32)cc1
181,8.15,0,CO[C@@H](C)CN1CC[C@@]2(C)c3ccc(O)cc3C[C@@H]1C2(C)C
182,8.15,0,N#CCc1ccc(NC(=O)/C=C2\CC(C(=O)O)Nc3cc(Cl)cc(Cl)c32)cc1
183,8.14,0,CCc1cc(Cl)cc2[nH]c(=O)c(-c3cccc(OC)c3)c(O)c12
184,8.14,0,O=C(O)CC1Cc2cc(Br)cc3[nH]c(=O)c(=O)n1c23
185,8.13,0,CN[C@]12CCCCC1CCc1ccccc12
186,8.12,0,NC12CCCCC1CCc1ccc(O)cc12
187,8.12,0,CN1CCN(Cc2cn(Cc3c(Cl)c(Cl)cc4nc(O)c(O)nc34)nn2)CC1
188,8.12,0,O=c1c2c(c1=O)N(CCP(=O)(O)O)CCCN2
