,pChEMBL Value,#RO5 Violations,Smiles
108,9.05,0,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccccc2O)CC1
109,9.05,1,O=C(c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F)N1CCN(S(=O)(=O)c2ccccc2)CC1
110,9.05,0,O=C(c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F)N1CCN(c2ccccn2)CC1
111,9.05,0,CN(C)C(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)CC1
112,9.05,0,C[C@]12CCCN1CC1=NNC(=O)c3cc(F)cc4[nH]c2c1c34
113,9.05,0,O=C(c1ccccc1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1
114,9.05,0,O=C(c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F)N1CCN(C(=O)N2CCCC2)CC1
115,9.05,0,O=C(c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F)N1CCN(c2ncncn2)CC1
116,9.02,0,NC(=O)c1cccc2[nH]c(-c3ccc(-c4cccnc4)cc3)nc12
117,9.0,0,O=S(=O)(NCCCN1CCOCC1)c1ccc2c(c1)Cc1c-2nc(O)c2ccccc12
118,9.0,0,NC(=O)c1cccc2[nH]c(-c3ccc(-c4cnco4)cc3)nc12
119,9.0,1,CCN(CCNC(=O)c1c(F)cccc1F)C(=O)c1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F
120,9.0,0,NC(=O)c1cccc2[nH]c(-c3ccc([C@@H]4CCCN4)cc3F)nc12
121,9.0,0,Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1
122,9.0,0,CC(C)(C)C(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)CC1
123,9.0,0,NC(=O)c1cccc2[nH]c(C3CCCN(C4CCCC4)CC3)nc12
124,9.0,1,CC(C)(C)C(=O)N1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1
125,9.0,0,N#Cc1ccc(N2CCN([C@H]3C=C(c4cc5c(N)cc(F)cc5c(=O)[nH]4)CC3)CC2)cc1
126,9.0,0,NC(=O)c1cc(F)cc2[nH]c(-c3ccc(C4CCCCN4)cc3)nc12
127,9.0,1,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCN(c2ncc3ccccc3n2)CC1
128,9.0,0,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)cn23)ccc1F)N1CCCNCC1
129,9.0,0,N#Cc1ccc(N2CCN([C@H]3C=C(c4cc5ncccc5c(=O)[nH]4)CC3)CC2)nc1
130,9.0,0,CCN(CCNC(=O)c1cccnc1)C(=O)c1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F
131,9.0,0,O=S(=O)(NCCCN1CCOCC1)c1ccc2c(c1)Cc1c-2nc(O)c2ccccc12
132,9.0,0,CC1=C(C)C(=O)N(c2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)C1=O
133,9.0,0,O=C(c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F)N1CCN(c2ncccn2)CC1
134,9.0,0,O=C(c1cccc(Cc2n[nH]c(=O)c3c2CCCC3)c1)N1CCNCC1
135,9.0,0,O=C1NCC2c3c(cccc31)CCN2C(=O)Cc1cccnc1
136,9.0,0,O=C(NC1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1)c1ccncc1
137,9.0,0,C[C@]1(c2nc3cccc(C(N)=O)c3[nH]2)CCCN1
138,9.0,0,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCC(N2CCC2)CC1
139,9.0,0,O=C1NCC2c3c(cccc31)CCN2C(=O)C1CNC1
140,9.0,0,NC(=O)c1cccc2[nH]c(-c3ccc([C@@H]4CCCN4)cc3F)nc12
141,9.0,0,NC(=O)c1cc(F)cc2[nH]c(-c3ccc(C4CCCN4)cc3F)nc12
142,9.0,0,O=C1NCC2c3c(cccc31)CCN2C(=O)C1CCNC1
143,9.0,0,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1
144,9.0,1,O=C(c1ccc(Cl)nc1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)CC1
145,9.0,0,O=C1NCC2c3c(cccc31)CCN2C(=O)CCn1cnc2ccccc21
146,9.0,0,CC(C)C(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)CC1
147,9.0,0,N#Cc1cccnc1N1CCN(C(=O)c2cccc(Cc3n[nH]c(=O)c4ccccc34)c2)CC1
148,9.0,0,O=C(c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F)N1CCN(c2ccccc2F)CC1
149,9.0,1,O=C(c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F)N1CCN(C(=O)c2cccnc2Cl)CC1
150,9.0,0,CN1CCC(C)(c2nc3c(C(N)=O)cccc3[nH]2)C1
151,9.0,0,NC(=O)c1cccc2[nH]c(-c3ccc(-c4nnco4)cc3)nc12
152,9.0,0,O=C(c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F)N1CCN(c2ccccn2)CC1
153,9.0,0,NC(=O)c1cccc2[nH]c(-c3ccc(-c4cccnc4)cc3)nc12
154,9.0,0,O=C(c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F)N1CCN(c2cccnc2)CC1
155,9.0,0,NCCOc1c(-c2ccc(Cl)c(Cl)c2)[nH]c(=O)c2cc(F)ccc12
156,9.0,1,O=C(c1ccc2nc[nH]c2c1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1
157,8.96,1,O=C(c1ccc2[nH]cnc2c1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)CC1
158,8.96,0,COc1ccc(N2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5c4NCCC5)ccc3F)CC2)cc1
159,8.96,1,COc1ccc(C(=O)N2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5c4NCCC5)ccc3F)CC2)cc1
160,8.96,0,O=C(c1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F)N1CCCNCC1
161,8.96,0,CN1CCN(CCNC(=O)c2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)CC1
162,8.96,0,N#Cc1ccc(N2CCN([C@H]3C=C(c4cc5ncccc5c(=O)[nH]4)CC3)CC2)cc1
163,8.96,1,O=C(c1cnc(Cl)c(O)c1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1
164,8.96,0,CN1CCN(CCNC(=O)c2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)CC1
165,8.96,0,Cn1ncnc1[C@@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@H]1c1ccc(F)cc1
166,8.96,0,O=c1[nH]nc2c3c(cccc13)N[C@H](c1ccc(CN3CCC3)cc1)[C@H]2c1ccc(F)cc1
167,8.96,0,C[C@]1(c2nc3cccc(C(N)=O)c3[nH]2)CCCN1
168,8.96,0,O=C1CCC(=O)N1c1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F
169,8.96,0,O=C(c1ccccn1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1
170,8.96,0,O=C(NC1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1)c1ccco1
171,8.96,0,C[C@]12CCCN1CC1=NNC(=O)c3cccc4[nH]c2c1c34
172,8.96,0,O=C(c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F)N1CCN(c2ccc(F)cc2F)CC1
173,8.96,0,O=C(c1cc[nH]n1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)CC1
174,8.96,0,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1
175,8.96,1,Nc1cc(-c2nc(N3CCOCC3)nc(N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)n2)ccc1F
176,8.96,0,O=C(c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F)N1CCN(C(=O)C2CCCCC2)CC1
177,8.96,0,CCN(CC)C(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1
178,8.96,0,O=C(c1cscn1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)CC1
179,8.96,0,O=C(c1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F)N1CCN(c2ccncc2)CC1
180,8.96,0,CCS(=O)(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)CC1
181,8.95,0,Cn1ncnc1[C@@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@H]1c1ccc(F)cc1
182,8.93,0,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1
183,8.93,1,Nc1ccc(-c2nc(N3CCOCC3)nc(N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)n2)cc1
184,8.92,0,CN(C)C(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1
185,8.92,0,O=C(c1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F)N1CCN(c2ccccc2)CC1
186,8.92,0,O=C1CCCN1c1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F
187,8.92,0,NC(=O)c1cccc2[nH]c(-c3ccc(C(F)(F)F)cc3)nc12
188,8.92,0,Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1
189,8.92,0,O=C1CCC(C(=O)N2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5c4CCCC5)ccc3F)CC2)N1
190,8.92,1,CC(C)n1nnc2cc(C(=O)N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6c5NCCC6)ccc4F)CC3)ccc21
191,8.92,0,NC(=O)c1cccc2[nH]c(-c3ccc(-c4cnc[nH]4)cc3)nc12
192,8.92,0,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1
